Subgroup,Species
Blackbirds and Orioles,10
Cardinals and Buntings,7
Chickadees and Titmice,3
Cormorants,1
Creepers,1
Crows and Jays,5
Cuckoos,2
"Ducks, Geese, Waterfowl",24
Finches and Crossbills,7
Flycatchers,11
Gnatcatchers,1
Grebes,1
"Grouse, Pheasants, Turkeys",6
"Gulls, Terns, Plovers, Shorebirds",22
"Hawks, Falcons, Eagles, Vultures",15
"Herons, Bitterns, Egrets, Pelicans",12
Hummingbirds and Swifts,2
Kingfishers,1
Kinglets,2
Larks,1
Loons,1
Mockingbirds and Thrashers,3
Nightbirds,3
Nuthatches,2
Old World Sparrows,1
Owls,7
Parrots and Parakeets,1
Pigeons and Doves,3
"Rails, Coots and Cranes",8
Shrikes,1
Sparrows and Towhees,15
Starlings,1
Swallows,6
Thrushes and Bluebirds,7
Vireos,6
Waxwings,1
Wood-Warblers,36
Woodpeckers,9
Wrens,5
